Freq.	V(output)
Step Information: A=990m  (Run: 1/5)
1.94984459975803e+002	(8.93652664494456e-002dB,-1.34723528525364e+001°)
1.99526231496887e+002	(8.94225923368972e-002dB,-1.37923844067383e+001°)
2.04173794466952e+002	(8.94663373515618e-002dB,-1.41203048864828e+001°)
2.08929613085403e+002	(8.94942899995652e-002dB,-1.44563278101171e+001°)
2.13796208950222e+002	(8.95039831147327e-002dB,-1.48006736321399e+001°)
2.18776162394954e+002	(8.94926672707462e-002dB,-1.51535700238576e+001°)
2.23872113856832e+002	(8.94572815582746e-002dB,-1.55152521663273e+001°)
2.29086765276776e+002	(8.93944214747502e-002dB,-1.58859630559201e+001°)
2.34422881531991e+002	(8.93003036511127e-002dB,-1.62659538227973e+001°)
2.39883291901947e+002	(8.91707271148949e-002dB,-1.66554840625473e+001°)
2.45470891568501e+002	(8.90010307620121e-002dB,-1.70548221811678e+001°)
2.51188643150956e+002	(8.87860466802828e-002dB,-1.74642457535024e+001°)
2.57039578276885e+002	(8.85200489361486e-002dB,-1.78840418951497e+001°)
2.63026799189536e+002	(8.81966974022888e-002dB,-1.83145076477494e+001°)
2.69153480392690e+002	(8.78089761674119e-002dB,-1.87559503774163e+001°)
2.75422870333815e+002	(8.73491260306793e-002dB,-1.92086881859308e+001°)
2.81838293126443e+002	(8.68085705416713e-002dB,-1.96730503341034e+001°)
2.88403150312659e+002	(8.61778350029882e-002dB,-2.01493776765072e+001°)
2.95120922666637e+002	(8.54464578058975e-002dB,-2.06380231065012e+001°)
3.01995172040200e+002	(8.46028934206060e-002dB,-2.11393520101612e+001°)
3.09029543251357e+002	(8.36344063114008e-002dB,-2.16537427273705e+001°)
3.16227766016836e+002	(8.25269549940885e-002dB,-2.21815870178971e+001°)
3.23593656929626e+002	(8.12650653981487e-002dB,-2.27232905298012e+001°)
3.31131121482589e+002	(7.98316926406458e-002dB,-2.32792732669470e+001°)
3.38844156139200e+002	(7.82080702628752e-002dB,-2.38499700517463e+001°)
3.46736850452529e+002	(7.63735459256967e-002dB,-2.44358309785152e+001°)
3.54813389233573e+002	(7.43054025060828e-002dB,-2.50373218519726e+001°)
3.63078054770099e+002	(7.19786634879138e-002dB,-2.56549246044390e+001°)
3.71535229097170e+002	(6.93658814955370e-002dB,-2.62891376841904e+001°)
3.80189396320558e+002	(6.64369087822907e-002dB,-2.69404764061731e+001°)
3.89045144994278e+002	(6.31586484605890e-002dB,-2.76094732548771e+001°)
3.98107170553494e+002	(5.94947852484576e-002dB,-2.82966781275879e+001°)
4.07380277804110e+002	(5.54054945151097e-002dB,-2.90026585044642e+001°)
4.16869383470332e+002	(5.08471284386910e-002dB,-2.97279995299268e+001°)
4.26579518801589e+002	(4.57718781501416e-002dB,-3.04733039876687e+001°)
4.36515832240163e+002	(4.01274108346194e-002dB,-3.12391921492036e+001°)
4.46683592150960e+002	(3.38564809043604e-002dB,-3.20263014732590e+001°)
4.57088189614872e+002	(2.68965145541113e-002dB,-3.28352861304957e+001°)
4.67735141287195e+002	(1.91791672728076e-002dB,-3.36668163249982e+001°)
4.78630092322635e+002	(1.06298542255225e-002dB,-3.45215773807690e+001°)
4.89778819368443e+002	(1.16725385127089e-003dB,-3.54002685580914e+001°)
5.01187233627268e+002	(-9.29721443965814e-003dB,-3.63036015611705e+001°)
5.12861383991361e+002	(-2.08599369248963e-002dB,-3.72322986949769e+001°)
5.24807460249769e+002	(-3.36256742422365e-002dB,-3.81870906258269e+001°)
5.37031796370249e+002	(-4.77081487754068e-002dB,-3.91687136970360e+001°)
5.49540873857620e+002	(-6.32306463248693e-002dB,-4.01779067481855e+001°)
5.62341325190345e+002	(-8.03266263178524e-002dB,-4.12154073843262e+001°)
5.75439937337152e+002	(-9.91403332938292e-002dB,-4.22819476400793e+001°)
5.88843655355584e+002	(-1.19827400675580e-001dB,-4.33782489834051e+001°)
6.02559586074353e+002	(-1.42555435900679e-001dB,-4.45050166051327e+001°)
6.16595001861477e+002	(-1.67504573852915e-001dB,-4.56629329436309e+001°)
6.30957344480188e+002	(-1.94867983219060e-001dB,-4.68526503996997e+001°)
6.45654229034650e+002	(-2.24852307942224e-001dB,-4.80747832054020e+001°)
6.60693448007591e+002	(-2.57678023406498e-001dB,-4.93298984226615e+001°)
6.76082975391976e+002	(-2.93579684452201e-001dB,-5.06185060635912e+001°)
6.91830970918931e+002	(-3.32806039898067e-001dB,-5.19410483451506e+001°)
7.07945784384132e+002	(-3.75619986077428e-001dB,-5.32978881163314e+001°)
7.24435960074984e+002	(-4.22298330156803e-001dB,-5.46892965268732e+001°)
7.41310241300911e+002	(-4.73131332903804e-001dB,-5.61154400426053e+001°)
7.58577575029177e+002	(-5.28422000343970e-001dB,-5.75763669536388e+001°)
7.76247116628685e+002	(-5.88485094651275e-001dB,-5.90719935671709e+001°)
7.94328234724275e+002	(-6.53645836920699e-001dB,-6.06020903254921e+001°)
8.12830516164092e+002	(-7.24238278429674e-001dB,-6.21662681402442e+001°)
8.31763771102664e+002	(-8.00603322832479e-001dB,-6.37639652837682e+001°)
8.51138038202369e+002	(-8.83086389603672e-001dB,-6.53944352246340e+001°)
8.70963589956073e+002	(-9.72034719017204e-001dB,-6.70567358336613e+001°)
8.91250938133738e+002	(-1.06779433094193e+000dB,-6.87497204150618e+001°)
9.12010839355902e+002	(-1.17070666351477e+000dB,-7.04720310306002e+001°)
9.33254300796983e+002	(-1.28110493289034e+000dB,-7.22220945788711e+001°)
9.54992586021428e+002	(-1.39931027112675e+000dB,-7.39981220633782e+001°)
9.77237220955802e+002	(-1.52562771502487e+000dB,-7.57981114294468e+001°)
9.99999999999991e+002	(-1.66034213339986e+000dB,-7.76198542699220e+001°)
1.02329299228075e+003	(-1.80371419273210e+000dB,-7.94609465937054e+001°)
1.04712854805089e+003	(-1.95597647030207e+000dB,-8.13188037222507e+001°)
1.07151930523760e+003	(-2.11732982872349e+000dB,-8.31906792322135e+001°)
1.09647819614318e+003	(-2.28794016541648e+000dB,-8.50736877047372e+001°)
1.12201845430195e+003	(-2.46793564448097e+000dB,-8.69648308823828e+001°)
1.14815362149687e+003	(-2.65740450651455e+000dB,-8.88610266835358e+001°)
1.17489755493952e+003	(-2.85639353450839e+000dB,-9.07591403916997e+001°)
1.20226443461740e+003	(-3.06490723184801e+000dB,-9.26560172329632e+001°)
1.23026877081237e+003	(-3.28290774287197e+000dB,-9.45485154870527e+001°)
1.25892541179416e+003	(-3.51031551894742e+000dB,-9.64335392509931e+001°)
1.28824955169312e+003	(-3.74701070533957e+000dB,-9.83080699915944e+001°)
1.31825673855640e+003	(-3.99283519803293e+000dB,-1.00169196082410e+002°)
1.34896288259164e+003	(-4.24759529670480e+000dB,-1.02014139617798e+002°)
1.38038426460287e+003	(-4.51106486156157e+000dB,-1.03840279923939e+002°)
1.41253754462274e+003	(-4.78298886862267e+000dB,-1.05645173334660e+002°)
1.44543977074591e+003	(-5.06308725071315e+000dB,-1.07426568958557e+002°)
1.47910838816819e+003	(-5.35105890987295e+000dB,-1.09182420322754e+002°)
1.51356124843619e+003	(-5.64658579066253e+000dB,-1.10910892928531e+002°)
1.54881661891247e+003	(-5.94933691216107e+000dB,-1.12610367887317e+002°)
1.58489319246110e+003	(-6.25897226831128e+000dB,-1.14279441916623e+002°)
1.62181009735891e+003	(-6.57514652055505e+000dB,-1.15916924061166e+002°)
1.65958690743754e+003	(-6.89751242231695e+000dB,-1.17521829563681e+002°)
1.69824365246173e+003	(-7.22572393080647e+000dB,-1.19093371343454e+002°)
1.73780082874936e+003	(-7.55943897696101e+000dB,-1.20630949551002e+002°)
1.77827941003891e+003	(-7.89832187846272e+000dB,-1.22134139657712e+002°)
1.81970085860997e+003	(-8.24204539316137e+000dB,-1.23602679513828e+002°)
1.86208713666285e+003	(-8.59029242064688e+000dB,-1.25036455770905e+002°)
1.90546071796323e+003	(-8.94275736803068e+000dB,-1.26435490019783e+002°)
1.94984459975803e+003	(-9.29914720225451e+000dB,-1.27799924945856e+002°)
1.99526231496886e+003	(-9.65918221558439e+000dB,-1.29130010752840e+002°)
2.04173794466951e+003	(-1.00225965335825e+001dB,-1.30426092056960e+002°)
2.08929613085402e+003	(-1.03891383960286e+001dB,-1.31688595407085e+002°)
2.13796208950221e+003	(-1.07585702412541e+001dB,-1.32918017544239e+002°)
2.18776162394953e+003	(-1.11306686234150e+001dB,-1.34114914476710e+002°)
2.23872113856832e+003	(-1.15052239906072e+001dB,-1.35279891415037e+002°)
2.29086765276775e+003	(-1.18820403496363e+001dB,-1.36413593584508e+002°)
2.34422881531990e+003	(-1.22609348408691e+001dB,-1.37516697911085e+002°)
2.39883291901947e+003	(-1.26417372440742e+001dB,-1.38589905559684e+002°)
2.45470891568501e+003	(-1.30242894336134e+001dB,-1.39633935290765e+002°)
2.51188643150955e+003	(-1.34084447988706e+001dB,-1.40649517591904e+002°)
2.57039578276884e+003	(-1.37940676434539e+001dB,-1.41637389534699e+002°)
2.63026799189535e+003	(-1.41810325745345e+001dB,-1.42598290303638e+002°)
2.69153480392689e+003	(-1.45692238917048e+001dB,-1.43532957341830e+002°)
2.75422870333814e+003	(-1.49585349829683e+001dB,-1.44442123058413e+002°)
2.81838293126442e+003	(-1.53488677339123e+001dB,-1.45326512043603e+002°)
2.88403150312658e+003	(-1.57401319547545e+001dB,-1.46186838739382e+002°)
2.95120922666635e+003	(-1.61322448287891e+001dB,-1.47023805516537e+002°)
3.01995172040198e+003	(-1.65251303847628e+001dB,-1.47838101111898e+002°)
3.09029543251356e+003	(-1.69187189948843e+001dB,-1.48630399382936e+002°)
3.16227766016835e+003	(-1.73129468994794e+001dB,-1.49401358340440e+002°)
3.23593656929625e+003	(-1.77077557587408e+001dB,-1.50151619423359e+002°)
3.31131121482588e+003	(-1.81030922315730e+001dB,-1.50881806983378e+002°)
